using device: cuda
Model parameters: 135.18M
loaded 338025 tokens
1 epoch = 165 batches
Starting training...
step 1060 | loss: 4.0242 | dt: 2722.96ms | tok/sec: 752.12
step 1070 | loss: 4.0509 | dt: 2717.44ms | tok/sec: 753.65
step 1080 | loss: 4.0544 | dt: 2667.92ms | tok/sec: 767.64
step 1090 | loss: 4.0126 | dt: 2740.84ms | tok/sec: 747.22
step 1100 | loss: 4.4749 | dt: 2762.05ms | tok/sec: 741.48
step 1110 | loss: 4.3578 | dt: 2634.24ms | tok/sec: 777.45
step 1120 | loss: 4.0779 | dt: 2677.47ms | tok/sec: 764.90
step 1130 | loss: 3.7411 | dt: 2685.44ms | tok/sec: 762.63
step 1140 | loss: 4.1268 | dt: 2690.60ms | tok/sec: 761.17
step 1150 | loss: 4.5661 | dt: 2719.96ms | tok/sec: 752.95
step 1160 | loss: 4.3289 | dt: 2666.21ms | tok/sec: 768.13
step 1170 | loss: 3.8129 | dt: 2671.28ms | tok/sec: 766.67
step 1180 | loss: 3.8706 | dt: 2717.71ms | tok/sec: 753.58
step 1190 | loss: 3.8226 | dt: 2669.59ms | tok/sec: 767.16
step 1200 | loss: 4.1762 | dt: 2666.23ms | tok/sec: 768.13
step 1210 | loss: 4.3757 | dt: 2708.58ms | tok/sec: 756.12
step 1220 | loss: 4.1351 | dt: 2685.38ms | tok/sec: 762.65
step 1230 | loss: 4.3564 | dt: 2687.16ms | tok/sec: 762.14
step 1240 | loss: 3.7988 | dt: 2675.93ms | tok/sec: 765.34
step 1250 | loss: 4.1403 | dt: 2686.86ms | tok/sec: 762.23
step 1260 | loss: 4.4226 | dt: 2667.90ms | tok/sec: 767.64
step 1270 | loss: 4.4887 | dt: 2739.30ms | tok/sec: 747.64
step 1280 | loss: 4.2127 | dt: 2691.33ms | tok/sec: 760.96
step 1290 | loss: 3.6873 | dt: 2672.71ms | tok/sec: 766.26
step 1300 | loss: 4.0008 | dt: 2696.75ms | tok/sec: 759.43
step 1310 | loss: 3.6128 | dt: 2662.96ms | tok/sec: 769.07
